구분,합계,연회장,커피숍,한식당
2009,361394,136415,123857,101122
2010,362217,127747,116078,118392
2011,379129,117849,116243,145037
2012,312296,104633,96966,110697
2013,319369,81733,106146,131490
2014,277013,74318,99836,102859
2015,270894,67327,95306,108261
2016,279868,54981,91365,133522
2017,286845,57813,94062,134970
2018,268511,54862,90307,123342
2019,221024,48870,78408,93746
2020,81009,16161,52733,12115
2021,0,0,0,0
2022,218889,52089,126213,40587
2023,309639,67785,171063,70791
2024,305469,63140,174677,67652
