구분,합계,일반내국인,일반외국인,청소년내국인,청소년외국인
2009,119824,35881,13166,42905,27872
2010,152300,38392,16776,65270,31862
2011,154541,39084,17257,71177,27023
2012,151645,35980,19350,63292,33023
2013,152606,27929,30989,69170,24518
2014,141094,28333,35531,55100,22130
2015,125848,29919,20210,65078,10641
2016,146115,28624,28260,74411,14820
2017,118776,32364,6800,70432,9180
2018,122443,42581,5948,67032,6882
2019,121107,39931,6935,63624,10617
2020,57511,42491,280,10718,4022
2021,0,0,0,0,0
2022,105895,62640,4954,35800,2501
2023,150242,44416,8656,87925,9245
2024,140816,33678,12246,87036,7856
